program,procs,time,speedup,efficiency
sequential,1,1.822358,1.0,1.0
matrix_vector,2,0.060547,30.098236,15.049118
matrix_vector,4,0.071804,25.379615,6.344904
matrix_vector,8,0.093546,19.480875,2.435109
matrix_vector,16,0.135214,13.477583,0.842349
matrix_vector,32,0.150247,12.129080,0.379034
matrix_vector,64,0.254938,7.148240,0.111691
scatter_gather,2,2.044037,0.891548,0.445774
scatter_gather,4,2.197143,0.829422,0.207355
scatter_gather,8,2.012472,0.905532,0.113192
scatter_gather,16,3.684399,0.494615,0.030913
scatter_gather,32,ERROR,,
scatter_gather,64,ERROR,,
scatter_gather_var,2,1.786230,1.020226,0.510113
scatter_gather_var,4,1.975939,0.922274,0.230569
scatter_gather_var,8,1.930171,0.944143,0.118018
scatter_gather_var,16,3.761286,0.484504,0.030281
scatter_gather_var,32,ERROR,,
scatter_gather_var,64,ERROR,,
cg_simple,2,2.571931,0.708556,0.354278
cg_simple,4,1.480800,1.230658,0.307664
cg_simple,8,1.099653,1.657212,0.207151
cg_simple,16,1.685819,1.080993,0.067562
cg_simple,32,2.010063,0.906617,0.028332
cg_simple,64,3.175991,0.573792,0.008965
cg_parallel,2,4.725700,0.385627,0.192814
cg_parallel,4,1.988408,0.916491,0.229123
cg_parallel,8,1.156805,1.575337,0.196917
cg_parallel,16,2.611966,0.697696,0.043606
cg_parallel,32,2.408231,0.756721,0.023648
cg_parallel,64,9.320638,0.195519,0.003055
